SCORE:,total_score,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,yhh_planarity,description
SCORE:,-773.702,-5.781000000000001,-1582.632,362.11199999999997,-478.53,3.3339999999999996,52.641000000000005,197.658,901.0010000000001,-60.971000000000004,-124.944,-43.45,-33.722,-33.745,24.596999999999998,-64.414,1.365,14.411,97.055,0.312,aflibercept_input_0042_0002_0010
SCORE:,-780.297,-5.736000000000001,-1588.0479999999998,356.625,-467.31,3.2889999999999997,53.801,193.03900000000002,899.4069999999999,-54.06399999999999,-123.777,-45.146,-34.038000000000004,-36.524,23.435,-64.468,2.094,9.687000000000001,97.055,0.382,aflibercept_input_0048_0001_0001
SCORE:,-786.1469999999999,-5.731,-1581.511,353.96,-463.05199999999996,3.283,53.863,191.278,887.345,-53.677,-123.37100000000001,-46.016999999999996,-34.48,-37.789,24.733,-64.35300000000001,1.974,9.955,97.055,0.39,aflibercept_input_0048_0001_0002
SCORE:,-789.298,-5.843,-1592.463,349.335,-470.88599999999997,3.29,55.831,192.313,897.8919999999999,-53.799,-122.48299999999999,-45.549,-33.993,-35.619,26.601999999999997,-63.567,2.821,9.399,97.055,0.366,aflibercept_input_0048_0001_0004
SCORE:,-783.2710000000001,-5.732,-1592.389,357.131,-466.582,3.312,55.368,192.892,897.74,-53.89,-123.177,-45.283,-34.821,-37.196999999999996,26.418000000000003,-64.848,1.709,8.647,97.055,0.377,aflibercept_input_0048_0001_0003
SCORE:,-787.1410000000001,-5.646,-1580.0410000000002,348.579,-461.91900000000004,3.258,54.342,189.696,890.6410000000001,-54.82,-123.698,-44.809,-34.24,-37.039,24.436999999999998,-64.271,1.855,9.061,97.055,0.41700000000000004,aflibercept_input_0048_0001_0005
SCORE:,-780.181,-5.697,-1582.931,356.084,-461.534,3.27,53.841,190.21,891.059,-53.464,-123.573,-46.62,-34.243,-35.778,24.045,-64.374,1.895,10.193999999999999,97.055,0.38,aflibercept_input_0048_0001_0006
SCORE:,-781.977,-5.667999999999999,-1586.255,351.657,-462.455,3.3139999999999996,55.156000000000006,191.28,895.3969999999999,-53.217,-123.184,-44.857,-34.297,-37.555,24.808000000000003,-65.092,2.015,9.546,97.055,0.376,aflibercept_input_0048_0001_0008
SCORE:,-781.797,-5.678999999999999,-1590.527,358.415,-473.51599999999996,3.313,55.879,193.812,905.548,-54.435,-123.318,-45.416000000000004,-35.25,-37.2,22.688000000000002,-64.937,1.9669999999999999,9.427,97.055,0.37799999999999995,aflibercept_input_0048_0001_0007
SCORE:,-786.658,-5.696000000000001,-1583.0710000000001,351.79900000000004,-468.499,3.283,54.065,191.497,896.9939999999999,-55.806999999999995,-123.596,-46.318999999999996,-33.534,-35.399,23.051,-64.155,1.9769999999999999,9.318,97.055,0.37799999999999995,aflibercept_input_0048_0001_0009
SCORE:,-782.938,-5.734,-1594.0710000000001,359.353,-471.055,3.2969999999999997,55.809,192.761,904.378,-55.832,-123.583,-46.357,-34.116,-35.853,24.18,-64.455,1.9080000000000001,9.017999999999999,97.055,0.36,aflibercept_input_0048_0001_0010
SCORE:,-806.6039999999999,-5.505,-1578.493,355.13300000000004,-479.87199999999996,3.293,54.563,188.31099999999998,886.778,-63.589,-124.333,-43.692,-34.518,-36.577,22.447,-64.36399999999999,1.4869999999999999,15.099,97.055,0.172,aflibercept_input_0057_0003_0002
SCORE:,-798.5830000000001,-5.428,-1573.7120000000002,349.47900000000004,-475.648,3.3160000000000003,54.364,190.102,884.221,-61.806000000000004,-124.613,-39.713,-34.702,-37.808,21.459,-62.577,1.482,15.66,97.055,0.28800000000000003,aflibercept_input_0057_0003_0001
SCORE:,-807.1239999999999,-5.396,-1586.895,356.13,-482.99,3.302,54.985,192.778,891.903,-62.81,-127.115,-41.292,-34.808,-38.001,22.391,-63.378,1.5030000000000001,15.3,97.055,0.214,aflibercept_input_0057_0003_0004
SCORE:,-803.944,-5.332000000000001,-1583.181,347.775,-474.01099999999997,3.3510000000000004,54.184,192.61,884.664,-61.886,-125.34299999999999,-40.961000000000006,-33.762,-37.211,23.789,-62.762,1.527,15.378,97.055,0.172,aflibercept_input_0057_0003_0003
SCORE:,-801.685,-5.347,-1575.4170000000001,350.329,-479.786,3.303,54.099,189.262,886.4689999999999,-62.826,-124.602,-39.251,-34.736,-37.398,22.090999999999998,-62.92100000000001,1.546,16.261,97.055,0.183,aflibercept_input_0057_0003_0005
